agent_id,agent_age,agent_rating
1,15,1.00
2,20,2.50
3,20,2.60
4,20,2.70
5,20,2.80
6,20,2.90
7,20,3.10
8,20,3.20
9,20,3.50
10,20,3.60
11,20,3.70
12,20,3.80
13,20,3.90
14,20,4.00
15,20,4.10
16,20,4.20
17,20,4.30
18,20,4.40
19,20,4.50
20,20,4.60
21,20,4.70
22,20,4.80
23,20,4.90
24,20,5.00
25,21,2.50
26,21,2.60
27,21,2.70
28,21,2.80
29,21,2.90
30,21,3.10
31,21,3.40
32,21,3.50
33,21,3.60
34,21,3.70
35,21,3.80
36,21,3.90
37,21,4.00
38,21,4.10
39,21,4.20
40,21,4.30
41,21,4.40
42,21,4.50
43,21,4.60
44,21,4.70
45,21,4.80
46,21,4.90
47,21,5.00
48,22,2.50
49,22,2.60
50,22,2.70
51,22,2.80
52,22,2.90
53,22,3.10
54,22,3.20
55,22,3.30
56,22,3.50
57,22,3.60
58,22,3.70
59,22,3.80
60,22,3.90
61,22,4.00
62,22,4.10
63,22,4.20
64,22,4.30
65,22,4.40
66,22,4.50
67,22,4.60
68,22,4.70
69,22,4.80
70,22,4.90
71,22,5.00
72,23,2.50
73,23,2.60
74,23,2.70
75,23,2.80
76,23,2.90
77,23,3.10
78,23,3.20
79,23,3.30
80,23,3.40
81,23,3.50
82,23,3.60
83,23,3.70
84,23,3.80
85,23,3.90
86,23,4.00
87,23,4.10
88,23,4.20
89,23,4.30
90,23,4.40
91,23,4.50
92,23,4.60
93,23,4.70
94,23,4.80
95,23,4.90
96,23,5.00
97,24,2.60
98,24,2.70
99,24,2.80
100,24,2.90
101,24,3.10
102,24,3.20
103,24,3.30
104,24,3.40
105,24,3.50
106,24,3.60
107,24,3.70
108,24,3.80
109,24,3.90
110,24,4.00
111,24,4.10
112,24,4.20
113,24,4.30
114,24,4.40
115,24,4.50
116,24,4.60
117,24,4.70
118,24,4.80
119,24,4.90
120,24,5.00
121,25,2.50
122,25,2.60
123,25,2.70
124,25,2.80
125,25,2.90
126,25,3.10
127,25,3.20
128,25,3.40
129,25,3.50
130,25,3.70
131,25,3.90
132,25,4.00
133,25,4.10
134,25,4.20
135,25,4.30
136,25,4.40
137,25,4.50
138,25,4.60
139,25,4.70
140,25,4.80
141,25,4.90
142,25,5.00
143,26,2.50
144,26,2.70
145,26,2.80
146,26,2.90
147,26,3.10
148,26,3.20
149,26,3.30
150,26,3.40
151,26,3.50
152,26,3.60
153,26,3.70
154,26,3.80
155,26,3.90
156,26,4.00
157,26,4.10
158,26,4.20
159,26,4.30
160,26,4.40
161,26,4.50
162,26,4.60
163,26,4.70
164,26,4.80
165,26,4.90
166,26,5.00
167,27,2.50
168,27,2.70
169,27,2.80
170,27,2.90
171,27,3.10
172,27,3.20
173,27,3.30
174,27,3.40
175,27,3.50
176,27,3.70
177,27,3.80
178,27,3.90
179,27,4.00
180,27,4.10
181,27,4.20
182,27,4.30
183,27,4.40
184,27,4.50
185,27,4.60
186,27,4.70
187,27,4.80
188,27,4.90
189,27,5.00
190,28,2.50
191,28,2.60
192,28,2.70
193,28,2.80
194,28,3.10
195,28,3.20
196,28,3.30
197,28,3.40
198,28,3.50
199,28,3.60
200,28,3.70
201,28,3.80
202,28,3.90
203,28,4.00
204,28,4.10
205,28,4.20
206,28,4.30
207,28,4.40
208,28,4.50
209,28,4.60
210,28,4.70
211,28,4.80
212,28,4.90
213,28,5.00
214,29,2.50
215,29,2.60
216,29,2.70
217,29,2.80
218,29,2.90
219,29,3.10
220,29,3.30
221,29,3.40
222,29,3.50
223,29,3.60
224,29,3.80
225,29,3.90
226,29,4.00
227,29,4.10
228,29,4.20
229,29,4.30
230,29,4.40
231,29,4.50
232,29,4.60
233,29,4.70
234,29,4.80
235,29,4.90
236,29,5.00
237,30,3.00
238,30,3.20
239,30,3.50
240,30,3.60
241,30,3.70
242,30,3.80
243,30,3.90
244,30,4.00
245,30,4.10
246,30,4.20
247,30,4.30
248,30,4.40
249,30,4.50
250,30,4.60
251,30,4.70
252,30,4.80
253,30,4.90
254,30,5.00
255,31,3.20
256,31,3.40
257,31,3.50
258,31,3.60
259,31,3.70
260,31,3.80
261,31,3.90
262,31,4.00
263,31,4.10
264,31,4.20
265,31,4.30
266,31,4.40
267,31,4.50
268,31,4.60
269,31,4.70
