date_id,order_date,order_weekday,is_weekend
1,2022-02-11,Friday,f
2,2022-02-12,Saturday,t
3,2022-02-13,Sunday,t
4,2022-02-14,Monday,f
5,2022-02-15,Tuesday,f
6,2022-02-16,Wednesday,f
7,2022-02-17,Thursday,f
8,2022-02-18,Friday,f
9,2022-03-01,Tuesday,f
10,2022-03-02,Wednesday,f
11,2022-03-03,Thursday,f
12,2022-03-04,Friday,f
13,2022-03-05,Saturday,t
14,2022-03-06,Sunday,t
15,2022-03-07,Monday,f
16,2022-03-08,Tuesday,f
17,2022-03-09,Wednesday,f
18,2022-03-10,Thursday,f
19,2022-03-11,Friday,f
20,2022-03-12,Saturday,t
21,2022-03-13,Sunday,t
22,2022-03-14,Monday,f
23,2022-03-15,Tuesday,f
24,2022-03-16,Wednesday,f
25,2022-03-17,Thursday,f
26,2022-03-18,Friday,f
27,2022-03-19,Saturday,t
28,2022-03-20,Sunday,t
29,2022-03-21,Monday,f
30,2022-03-23,Wednesday,f
31,2022-03-24,Thursday,f
32,2022-03-25,Friday,f
33,2022-03-26,Saturday,t
34,2022-03-27,Sunday,t
35,2022-03-28,Monday,f
36,2022-03-29,Tuesday,f
37,2022-03-30,Wednesday,f
38,2022-03-31,Thursday,f
39,2022-04-01,Friday,f
40,2022-04-02,Saturday,t
41,2022-04-03,Sunday,t
42,2022-04-04,Monday,f
43,2022-04-05,Tuesday,f
44,2022-04-06,Wednesday,f
