order_id,date_id,weather_id,traffic_id,area_id,category_id,vehicle_id,agent_id,order_time,pickup_time,order_hour,delivery_time_minutes,pickup_prep_minutes,delivery_distance_km,delivery_speed_kmh,is_delayed
lmop404805897,7,4,1,4,16,3,43,11:55:00,12:00:00,11,80,5,3.027,2.270,t
xcpk783407915,7,4,3,2,16,4,68,10:25:00,10:30:00,10,75,5,2.930,2.344,t
ohpf554192056,7,1,1,4,16,3,22,11:45:00,12:00:00,11,165,15,1.526,0.555,t
puie162502779,7,1,2,1,16,2,345,19:40:00,19:55:00,19,155,15,7.490,2.899,t
cuoq192053871,7,5,2,1,16,2,284,21:45:00,21:55:00,21,100,10,7.631,4.579,t
opdf635105008,7,1,3,1,16,2,267,10:45:00,10:50:00,10,135,5,1.469,0.653,t
kwfd664813511,7,2,3,1,16,2,253,22:40:00,22:55:00,22,75,15,9.060,7.248,t
zlqf893199781,7,1,3,1,16,3,383,23:20:00,23:35:00,23,80,15,9.269,6.952,t
nnbd226110916,7,4,3,1,16,3,306,23:50:00,00:00:00,23,145,10,7.803,3.229,t
izun335549174,7,2,2,1,16,3,24,19:45:00,19:55:00,19,130,10,7.490,3.457,t
fdrc040921103,7,2,3,1,16,3,188,08:40:00,08:45:00,8,70,5,3.121,2.675,t
qpda489582651,7,2,4,1,16,4,115,17:40:00,17:45:00,17,65,5,8.953,8.264,t
zgxx725421952,7,1,3,4,16,2,252,22:45:00,23:00:00,22,75,15,9.265,7.412,t
yusu347196532,7,4,1,1,16,3,211,11:15:00,11:20:00,11,80,5,1.465,1.099,t
bxen082154264,7,1,3,1,16,2,326,23:15:00,23:25:00,23,115,10,7.719,4.027,t
arzm873669196,7,3,2,1,16,3,421,20:50:00,21:00:00,20,145,10,7.803,3.229,t
jsde568528887,7,4,3,1,16,3,327,09:50:00,09:55:00,9,135,5,3.121,1.387,t
siqq741170330,7,4,1,4,16,3,119,12:55:00,13:00:00,12,105,5,5.969,3.411,t
fcod647026570,7,5,3,1,16,2,406,09:20:00,09:30:00,9,110,10,1.573,0.858,t
sifd289454423,7,6,2,1,16,4,140,19:40:00,19:45:00,19,115,5,4.579,2.389,t
etpt086968507,7,2,1,1,16,2,165,11:30:00,11:40:00,11,135,10,2.977,1.323,t
kdev919705917,7,4,3,1,16,2,112,09:55:00,10:10:00,9,110,15,2.976,1.623,t
uzcq220601885,7,6,1,1,16,2,253,12:00:00,12:05:00,12,235,5,1.514,0.387,t
qxhy923308772,7,5,3,4,16,2,44,08:25:00,08:40:00,8,50,15,1.573,1.888,t
uggt812547129,7,3,2,1,16,3,367,19:50:00,19:55:00,19,135,5,4.718,2.097,t
lllk101230948,7,5,1,1,16,2,406,12:00:00,12:10:00,12,115,10,1.488,0.776,t
zuez379773006,7,3,2,1,16,3,365,20:55:00,21:10:00,20,150,15,8.790,3.516,t
uvak144414032,7,5,2,1,16,3,384,20:40:00,20:55:00,20,90,15,7.803,5.202,t
hign640098525,7,3,4,1,16,2,425,17:40:00,17:55:00,17,145,15,8.929,3.695,t
uzvn779350390,7,1,3,1,16,2,211,08:30:00,08:35:00,8,80,5,1.510,1.133,t
vrgm900420109,7,2,3,1,16,2,328,08:35:00,08:45:00,8,125,10,2.985,1.433,t
faxs434527749,7,4,4,1,16,2,398,18:20:00,18:25:00,18,180,5,7.632,2.544,t
gccf677853308,7,2,3,1,16,4,93,22:45:00,22:50:00,22,55,5,4.718,5.147,t
zegy836461094,7,1,2,4,16,2,70,19:20:00,19:30:00,19,135,10,7.803,3.468,t
kvbu799656390,7,3,3,1,16,2,90,08:15:00,08:30:00,8,120,15,1.510,0.755,t
ukwd728760508,7,4,3,1,16,3,252,08:25:00,08:30:00,8,140,5,2.930,1.256,t
xdqb591653159,7,2,1,1,16,2,308,11:10:00,11:20:00,11,125,10,1.526,0.732,t
lnpn188712863,7,2,4,1,16,3,324,15:55:00,16:00:00,15,85,5,6.177,4.360,t
bkrm189545939,7,2,3,1,16,2,21,00:00:00,00:10:00,0,60,10,4.632,4.632,t
nvkk717413979,7,3,3,1,16,2,68,08:10:00,08:15:00,8,50,5,1.526,1.831,t
snuf036675150,7,4,4,1,16,3,137,16:40:00,16:55:00,16,105,15,6.290,3.594,t
zxnm320148723,7,4,1,1,16,4,116,11:45:00,11:55:00,11,85,10,1.469,1.037,t
yfjw482974608,7,1,3,4,16,3,363,23:35:00,23:50:00,23,75,15,9.060,7.248,t
ewbi235206398,7,1,3,1,16,2,232,22:45:00,23:00:00,22,60,15,4.477,4.477,t
xyly008416980,7,2,3,1,16,2,368,22:45:00,22:55:00,22,80,10,4.406,3.305,t
oqmu066379437,7,3,4,4,16,3,141,18:00:00,18:15:00,18,115,15,7.551,3.940,t
fstb252389830,7,6,1,1,16,3,164,12:25:00,12:30:00,12,110,5,5.875,3.205,t
vffu687743997,7,6,2,4,16,2,44,21:20:00,21:25:00,21,85,5,7.441,5.252,t
cpbi170039661,7,1,2,1,16,2,92,20:20:00,20:35:00,20,100,15,7.343,4.406,t
xxou039906386,7,2,3,1,16,3,233,23:30:00,23:35:00,23,90,5,9.080,6.053,t
suol941013788,7,1,3,1,16,2,270,23:20:00,23:25:00,23,85,5,4.465,3.152,t
evve072112930,7,2,2,1,16,4,61,19:30:00,19:40:00,19,160,10,9.264,3.474,t
ksvk129894598,7,1,3,1,16,2,43,08:55:00,09:10:00,8,120,15,3.088,1.544,t
dbyg819334603,7,3,1,4,6,4,325,13:50:00,13:55:00,13,27,5,6.177,13.727,f
gxan859732316,7,4,1,1,6,2,308,11:20:00,11:35:00,11,36,15,3.027,5.045,t
urhz950401191,7,3,2,4,6,4,161,19:50:00,20:00:00,19,19,10,4.395,13.879,f
yoos285858632,7,6,4,1,6,2,285,17:20:00,17:25:00,17,36,5,9.363,15.605,t
bpxl113144990,7,1,4,1,6,4,309,15:25:00,15:35:00,15,18,10,6.040,20.133,f
selp029339063,7,6,3,1,6,2,47,10:30:00,10:40:00,10,13,10,2.985,13.777,f
yxbk739254885,7,2,2,1,6,3,138,20:45:00,21:00:00,20,27,15,8.953,19.896,f
ulis809574436,7,4,3,1,6,2,397,09:10:00,09:20:00,9,33,10,1.544,2.807,t
iblf970448734,7,6,3,4,6,2,210,22:45:00,22:55:00,22,19,10,4.465,14.100,f
vrwy646377589,7,5,3,4,6,2,406,10:00:00,10:05:00,10,19,5,1.573,4.967,f
byuz199136633,7,4,3,1,6,3,347,09:15:00,09:20:00,9,28,5,3.027,6.486,f
wkzx665900111,7,6,3,1,6,2,299,09:35:00,09:40:00,9,28,5,3.053,6.542,f
njfj824249246,7,2,1,1,6,2,210,11:40:00,11:45:00,11,26,5,3.121,7.202,f
odjc474969393,7,4,2,1,6,2,164,21:35:00,21:50:00,21,28,15,9.435,20.218,f
oyej500695754,7,4,3,1,6,3,305,22:40:00,22:55:00,22,24,15,4.718,11.795,f
ouhd778260061,7,3,4,1,6,2,404,15:10:00,15:20:00,15,28,10,6.290,13.479,f
njkg743512139,7,5,3,4,6,4,211,22:30:00,22:40:00,22,22,10,7.490,20.427,f
vssc147502438,7,1,2,1,6,3,288,21:40:00,21:50:00,21,31,10,7.567,14.646,t
zbrs440179475,7,4,3,1,6,3,325,09:50:00,10:00:00,9,20,10,3.053,9.159,f
dauq814527268,7,4,1,4,6,3,422,11:35:00,11:40:00,11,29,5,3.027,6.263,f
jauv838587248,7,6,3,1,6,3,212,08:40:00,08:55:00,8,18,15,2.930,9.767,f
dezm039575546,7,6,2,1,6,3,403,20:30:00,20:35:00,20,33,5,7.550,13.727,t
gfky658688172,7,2,2,1,6,2,405,21:50:00,22:05:00,21,31,15,7.490,14.497,t
vpts208424071,7,5,2,1,6,2,109,21:15:00,21:25:00,21,40,10,4.395,6.593,t
xcue824728439,7,6,1,1,6,3,344,11:20:00,11:35:00,11,29,15,2.996,6.199,f
qyma206233288,7,2,1,1,6,2,234,11:10:00,11:20:00,11,33,10,2.977,5.413,t
fhjw964042445,7,2,3,1,6,2,403,09:55:00,10:05:00,9,26,10,3.145,7.258,f
ccaq334657172,7,6,4,4,6,2,186,17:45:00,18:00:00,17,23,15,7.803,20.356,f
sjhl378405488,7,4,4,1,6,2,289,17:30:00,17:35:00,17,28,5,7.490,16.050,f
hikd053134296,7,2,3,4,6,2,287,09:10:00,09:25:00,9,23,15,3.145,8.204,f
yrsw704503938,7,6,1,1,6,2,245,11:15:00,11:25:00,11,34,10,1.492,2.633,t
xlzp812561001,7,6,2,1,6,2,415,21:50:00,22:00:00,21,31,10,7.567,14.646,t
dcyl161446064,7,5,2,4,6,2,251,20:40:00,20:55:00,20,20,15,7.325,21.975,f
lsby237868278,7,6,4,1,6,3,304,18:20:00,18:30:00,18,28,10,4.682,10.033,f
kyim230245765,7,5,3,1,6,2,165,22:50:00,23:00:00,22,18,10,,,f
gpsi466706453,7,4,4,1,6,3,138,19:00:00,19:15:00,19,28,15,4.541,9.731,f
tppv873930169,7,3,3,2,6,3,209,23:35:00,23:45:00,23,11,10,9.060,49.418,f
nity977986450,7,6,4,1,6,2,346,16:25:00,16:35:00,16,27,10,5.953,13.229,f
ksri840036856,7,6,3,1,6,2,384,10:30:00,10:35:00,10,27,5,3.145,6.989,f
ohfh963147472,7,5,2,1,15,2,388,19:55:00,20:05:00,19,145,10,9.080,3.757,t
wypw496102732,7,5,2,1,15,4,346,21:15:00,21:25:00,21,85,10,4.718,3.330,t
ognp232305886,7,4,3,1,15,2,340,10:15:00,10:25:00,10,160,10,3.053,1.145,t
uihw861416295,7,4,3,1,15,3,307,09:30:00,09:40:00,9,140,10,2.996,1.284,t
wyve798721282,7,3,4,1,15,2,308,18:15:00,18:20:00,18,145,5,7.719,3.194,t
hwws232500356,7,6,4,4,15,2,398,15:35:00,15:50:00,15,155,15,5.969,2.311,t
mexi889463821,7,3,2,1,15,4,234,19:25:00,19:35:00,19,55,10,4.396,4.796,t
qyfz383031721,7,5,2,4,15,3,232,21:45:00,21:50:00,21,60,5,8.953,8.953,t
jskq337824447,7,3,3,1,15,2,210,22:40:00,22:55:00,22,70,15,4.541,3.892,t
looj887356390,7,6,1,4,15,2,322,13:35:00,13:45:00,13,155,10,6.040,2.338,t
lgku266112386,7,2,3,1,15,3,139,22:35:00,22:45:00,22,60,10,4.718,4.718,t
